unix_time,dt,open,high,low,close,size
1552654020,2019-03-15 21:47:00,429240,429394,429181,429367,182.66806765
1552654080,2019-03-15 21:48:00,429366,429450,429328,429423,121.74671149
1552654140,2019-03-15 21:49:00,429413,429451,429327,429349,133.86609255
1552654200,2019-03-15 21:50:00,429349,429534,429111,429464,244.51583267
1552654260,2019-03-15 21:51:00,429443,429499,429260,429459,222.49283726
1552654320,2019-03-15 21:52:00,429456,429466,429230,429397,166.64489981
1552654380,2019-03-15 21:53:00,429397,429682,429385,429468,210.06038029
1552654440,2019-03-15 21:54:00,429469,429497,429400,429432,105.01807182
1552654500,2019-03-15 21:55:00,429432,429797,429278,429704,291.27991025
1552654560,2019-03-15 21:56:00,429683,429888,429655,429837,258.59294684
1552654620,2019-03-15 21:57:00,429842,429999,429780,429849,372.15258038
1552654680,2019-03-15 21:58:00,429849,430040,429830,430014,259.04197223
1552654740,2019-03-15 21:59:00,430008,430203,429872,429881,164.73982856
1552654800,2019-03-15 22:00:00,429910,430018,429848,429903,168.10663276
1552654860,2019-03-15 22:01:00,429907,429967,429823,429895,147.24704882
1552654920,2019-03-15 22:02:00,429895,429914,429836,429904,99.55167862
1552654980,2019-03-15 22:03:00,429924,430000,429884,429900,147.54003474
1552655040,2019-03-15 22:04:00,429899,430014,429733,429903,194.79079178
1552655100,2019-03-15 22:05:00,429909,430099,429906,430047,158.36844773
1552655160,2019-03-15 22:06:00,430053,430100,429966,430000,136.43666624
1552655220,2019-03-15 22:07:00,429989,430014,429754,429775,207.75994701
1552655280,2019-03-15 22:08:00,429775,429800,429608,429677,338.98074844
1552655340,2019-03-15 22:09:00,429676,429790,429644,429740,107.24861631
1552655400,2019-03-15 22:10:00,429752,429772,429611,429655,105.03016846
1552655460,2019-03-15 22:11:00,429665,429665,429603,429630,142.11877813
1552655520,2019-03-15 22:12:00,429604,429625,429323,429600,293.34219978
1552655580,2019-03-15 22:13:00,429625,429800,429602,429800,201.58718615
1552655640,2019-03-15 22:14:00,429795,429824,429753,429789,92.00440942
1552655700,2019-03-15 22:15:00,429789,429913,429755,429846,144.30432052
1552655760,2019-03-15 22:16:00,429847,429868,429766,429785,107.85180352
1552655820,2019-03-15 22:17:00,429784,429868,429777,429850,82.3954822
1552655880,2019-03-15 22:18:00,429824,429883,429722,429729,84.91360272
1552655940,2019-03-15 22:19:00,429739,429769,429680,429736,73.40199692
1552656000,2019-03-15 22:20:00,429741,429899,429733,429869,90.65416837
1552656060,2019-03-15 22:21:00,429895,430397,429895,430175,275.14521629
1552656120,2019-03-15 22:22:00,430177,430319,430165,430249,143.995321
1552656180,2019-03-15 22:23:00,430343,430350,430110,430187,149.29423963
1552656240,2019-03-15 22:24:00,430192,430194,430047,430108,139.16239078
1552656300,2019-03-15 22:25:00,430121,430170,430087,430145,65.80064229999999
1552656360,2019-03-15 22:26:00,430149,430205,429974,430051,144.84214803
1552656420,2019-03-15 22:27:00,430052,430052,429750,429836,240.0168269
1552656480,2019-03-15 22:28:00,429780,429972,429766,429927,146.18823315
1552656540,2019-03-15 22:29:00,429927,430454,429671,430222,235.51620745
1552656600,2019-03-15 22:30:00,430165,430220,430024,430087,157.15105848
1552656660,2019-03-15 22:31:00,430090,430150,430009,430069,76.52232124
1552656720,2019-03-15 22:32:00,430069,430220,430069,430183,141.92798913
1552656780,2019-03-15 22:33:00,430183,430350,430179,430322,131.90683526
1552656840,2019-03-15 22:34:00,430323,430400,430235,430390,153.73010602
1552656900,2019-03-15 22:35:00,430390,430390,430142,430164,137.37681372
1552656960,2019-03-15 22:36:00,430163,430200,429965,429965,192.88518416
1552657020,2019-03-15 22:37:00,429945,430010,429823,429913,258.63371087
1552657080,2019-03-15 22:38:00,429840,429916,429600,429688,315.98489021
1552657140,2019-03-15 22:39:00,429697,429800,429630,429630,144.74522569
1552657200,2019-03-15 22:40:00,429644,429760,429550,429591,122.50849717
1552657260,2019-03-15 22:41:00,429591,429634,429405,429450,202.25839205
1552657320,2019-03-15 22:42:00,429450,429592,429365,429407,172.58101833
1552657380,2019-03-15 22:43:00,429400,429450,429208,429208,153.48851879
1552657440,2019-03-15 22:44:00,429212,429405,429158,429357,250.80024984
1552657500,2019-03-15 22:45:00,429377,429457,429320,429399,152.05361779
1552657560,2019-03-15 22:46:00,429380,429403,429320,429349,71.30332689
1552657620,2019-03-15 22:47:00,429358,429436,429303,429395,93.66837376
1552657680,2019-03-15 22:48:00,429408,429408,429230,429238,127.17657603
1552657740,2019-03-15 22:49:00,429248,429489,429230,429429,190.35404076
1552657800,2019-03-15 22:50:00,429429,429679,429429,429626,241.67322367
1552657860,2019-03-15 22:51:00,429624,429792,429589,429697,147.93948229
1552657920,2019-03-15 22:52:00,429689,429729,429595,429697,160.06559184
1552657980,2019-03-15 22:53:00,429697,429704,429568,429591,144.19059617
1552658040,2019-03-15 22:54:00,429591,429617,429515,429593,100.6143634
1552658100,2019-03-15 22:55:00,429549,429622,429508,429536,83.27779769
1552658160,2019-03-15 22:56:00,429536,429563,429500,429500,120.13941448
1552658220,2019-03-15 22:57:00,429505,429561,429452,429561,93.93322357
1552658280,2019-03-15 22:58:00,429561,429761,429527,429714,109.75068912
1552658340,2019-03-15 22:59:00,429714,429800,429646,429651,121.89568883
1552658400,2019-03-15 23:00:00,429668,429671,429570,429648,78.47978595
1552658460,2019-03-15 23:01:00,429646,429646,429502,429627,85.43158643
1552658520,2019-03-15 23:02:00,429645,429796,429579,429795,90.28256827
1552658580,2019-03-15 23:03:00,429768,429920,429768,429872,190.20523537
1552658640,2019-03-15 23:04:00,429895,429920,429781,429816,91.29041132
1552658700,2019-03-15 23:05:00,429827,429880,429803,429880,67.84779374
1552658760,2019-03-15 23:06:00,429876,429929,429775,429785,101.54388445
1552658820,2019-03-15 23:07:00,429783,429825,429705,429749,100.79496192
1552658880,2019-03-15 23:08:00,429749,429845,429730,429809,66.23477766
1552658940,2019-03-15 23:09:00,429801,429928,429792,429842,124.52021284
1552659000,2019-03-15 23:10:00,429842,429909,429739,429775,87.01269349
1552659060,2019-03-15 23:11:00,429774,429795,429653,429683,98.25067193
1552659120,2019-03-15 23:12:00,429686,429689,429489,429490,228.31159301
1552659180,2019-03-15 23:13:00,429490,429858,429443,429840,345.78471609
1552659240,2019-03-15 23:14:00,429825,429912,429771,429900,192.95435282
1552659300,2019-03-15 23:15:00,429924,429985,429881,429894,173.82522635
1552659360,2019-03-15 23:16:00,429905,430080,429860,430080,176.12597654
1552659420,2019-03-15 23:17:00,430075,430088,429906,429933,149.96266159
1552659480,2019-03-15 23:18:00,429926,430047,429843,429958,116.25772222
1552659540,2019-03-15 23:19:00,429954,430026,429435,429624,126.45390674
1552659600,2019-03-15 23:20:00,429554,429650,429223,429288,291.48065837
1552659660,2019-03-15 23:21:00,429348,429409,429010,429156,330.16031733
1552659720,2019-03-15 23:22:00,429163,429284,428768,429283,313.7143008
1552659780,2019-03-15 23:23:00,429283,429377,429140,429241,237.17007258
1552659840,2019-03-15 23:24:00,429238,429297,429122,429153,142.40061485
1552659900,2019-03-15 23:25:00,429144,429197,429022,429110,231.60989841
1552659960,2019-03-15 23:26:00,429132,429247,429116,429168,98.1580798
1552660020,2019-03-15 23:27:00,429160,429246,429055,429102,121.18374859
1552660080,2019-03-15 23:28:00,429102,429292,429072,429200,97.34492077
1552660140,2019-03-15 23:29:00,429196,429200,429117,429197,78.44717174
1552660200,2019-03-15 23:30:00,429196,429247,429150,429188,51.42371242
1552660260,2019-03-15 23:31:00,429187,429217,429150,429175,76.25835223
1552660320,2019-03-15 23:32:00,429177,429188,429071,429112,93.62190771
1552660380,2019-03-15 23:33:00,429112,429260,429112,429239,90.55466053
1552660440,2019-03-15 23:34:00,429254,429340,429227,429250,85.15994441
1552660500,2019-03-15 23:35:00,429250,429250,429101,429135,95.69367784
1552660560,2019-03-15 23:36:00,429142,429234,429101,429224,88.44426682
1552660620,2019-03-15 23:37:00,429223,429294,429198,429250,70.71451703
1552660680,2019-03-15 23:38:00,429250,429286,429140,429165,89.07669612
1552660740,2019-03-15 23:39:00,429166,429184,429139,429158,61.38726338
1552660800,2019-03-15 23:40:00,429150,429163,429056,429121,109.69981895
1552660860,2019-03-15 23:41:00,429108,429299,429094,429276,94.30286483
1552660920,2019-03-15 23:42:00,429281,429293,429216,429225,93.17856827
1552660980,2019-03-15 23:43:00,429225,429299,429197,429299,73.86389589
1552661040,2019-03-15 23:44:00,429307,429524,429307,429464,157.05954366
1552661100,2019-03-15 23:45:00,429463,429540,429420,429494,131.68836275
1552661160,2019-03-15 23:46:00,429480,429600,429467,429587,140.03424272
1552661220,2019-03-15 23:47:00,429583,429608,429467,429573,126.03019864
1552661280,2019-03-15 23:48:00,429573,429634,429550,429614,82.00990833
1552661340,2019-03-15 23:49:00,429612,429669,429550,429580,88.02949038
1552661400,2019-03-15 23:50:00,429580,429584,429493,429564,108.85893135
1552661460,2019-03-15 23:51:00,429566,430150,429545,430046,326.6441152
1552661520,2019-03-15 23:52:00,430083,430141,429713,429798,325.36851114
1552661580,2019-03-15 23:53:00,429791,429900,429708,429888,194.46009016
1552661640,2019-03-15 23:54:00,429889,429901,429605,429650,191.12124843
1552661700,2019-03-15 23:55:00,429647,429873,429646,429786,136.79449716
1552661760,2019-03-15 23:56:00,429787,429900,429700,429729,114.20192545
1552661820,2019-03-15 23:57:00,429732,429896,429724,429872,100.97085265
1552661880,2019-03-15 23:58:00,429863,429907,429685,429758,173.70072192
1552661940,2019-03-15 23:59:00,429755,429759,429344,429468,311.57379638
1552662000,2019-03-16 00:00:00,429468,429883,429459,429734,279.49775316
1552662060,2019-03-16 00:01:00,429640,429700,429605,429647,164.40483833
1552662120,2019-03-16 00:02:00,429647,429761,429598,429705,118.15170846
1552662180,2019-03-16 00:03:00,429700,429750,429655,429673,100.71099025
1552662240,2019-03-16 00:04:00,429653,429959,429646,429825,218.44222971
1552662300,2019-03-16 00:05:00,429828,430068,429823,430052,174.55920874
1552662360,2019-03-16 00:06:00,430057,430068,429866,429949,160.49969755
1552662420,2019-03-16 00:07:00,429864,429935,429806,429830,99.43583748
1552662480,2019-03-16 00:08:00,429830,429907,429650,429775,101.50015676
1552662540,2019-03-16 00:09:00,429766,429920,429751,429920,94.26297871
1552662600,2019-03-16 00:10:00,429921,430170,429918,430015,145.67877306
1552662660,2019-03-16 00:11:00,430050,430150,429968,430062,95.83644971
1552662720,2019-03-16 00:12:00,430062,430155,429975,430020,107.80759235
1552662780,2019-03-16 00:13:00,430020,430131,429980,430101,61.41269307
1552662840,2019-03-16 00:14:00,430123,430179,430046,430113,75.08388681
1552662900,2019-03-16 00:15:00,430107,430249,430100,430238,140.55110091
1552662960,2019-03-16 00:16:00,430212,430500,430181,430500,292.55611652
1552663020,2019-03-16 00:17:00,430489,430900,430300,430347,398.91298718
1552663080,2019-03-16 00:18:00,430328,430372,429991,430105,389.73674688
1552663140,2019-03-16 00:19:00,430094,430227,429983,429983,225.14821349
1552663200,2019-03-16 00:20:00,429983,430023,429855,429945,245.59158922
1552663260,2019-03-16 00:21:00,429994,430300,429980,430209,285.05416719
1552663320,2019-03-16 00:22:00,430209,430631,430195,430614,311.17191855
1552663380,2019-03-16 00:23:00,430570,430665,430429,430587,211.02580276
1552663440,2019-03-16 00:24:00,430609,430700,430403,430528,153.84208565
1552663500,2019-03-16 00:25:00,430526,430850,430446,430777,171.82315037
1552663560,2019-03-16 00:26:00,430786,431000,430660,430810,351.05307766
1552663620,2019-03-16 00:27:00,430790,430810,430269,430623,306.51930128
1552663680,2019-03-16 00:28:00,430623,430903,430522,430839,284.26538557
1552663740,2019-03-16 00:29:00,430964,431313,430308,430490,488.19790082
1552663800,2019-03-16 00:30:00,430550,431100,430452,430946,299.33201064
1552663860,2019-03-16 00:31:00,430994,431496,430917,431414,349.15600526
1552663920,2019-03-16 00:32:00,431409,431443,430594,430878,452.33407273
1552663980,2019-03-16 00:33:00,430843,431004,430600,431000,384.21397687
1552664040,2019-03-16 00:34:00,430987,431294,430817,430826,296.99735234
1552664100,2019-03-16 00:35:00,430843,431199,430763,431073,240.68097741
1552664160,2019-03-16 00:36:00,431073,431199,430447,430665,455.69440906
1552664220,2019-03-16 00:37:00,430665,430687,430071,430430,554.46446359
1552664280,2019-03-16 00:38:00,430428,430649,430352,430380,293.70006692
1552664340,2019-03-16 00:39:00,430394,430664,430271,430514,204.4448817
1552664400,2019-03-16 00:40:00,430522,430800,430490,430800,192.30904197
1552664460,2019-03-16 00:41:00,430798,430819,430525,430567,164.56598501
1552664520,2019-03-16 00:42:00,430567,430639,430403,430513,265.65884643
1552664580,2019-03-16 00:43:00,430597,430655,430407,430544,123.79046395
1552664640,2019-03-16 00:44:00,430547,430639,430423,430597,157.28704533
1552664700,2019-03-16 00:45:00,430555,430597,430470,430539,122.1855537
1552664760,2019-03-16 00:46:00,430617,430946,430617,430800,248.45766784
1552664820,2019-03-16 00:47:00,430856,431164,430791,430969,304.96367465
1552664880,2019-03-16 00:48:00,430969,431088,430852,430890,127.33330879
1552664940,2019-03-16 00:49:00,430890,430985,430683,430896,131.53426755
1552665000,2019-03-16 00:50:00,430896,430949,430501,430603,143.07580873
1552665060,2019-03-16 00:51:00,430637,431026,430570,430981,237.67968105
1552665120,2019-03-16 00:52:00,430920,431066,430876,431019,227.49578002
1552665180,2019-03-16 00:53:00,431017,431650,430902,431351,316.73000616
1552665240,2019-03-16 00:54:00,431252,431600,431201,431523,308.67899009
1552665300,2019-03-16 00:55:00,431511,431680,431324,431400,245.55592378
1552665360,2019-03-16 00:56:00,431419,431700,431331,431366,352.54077738
1552665420,2019-03-16 00:57:00,431386,431749,431371,431427,267.89985003
1552665480,2019-03-16 00:58:00,431427,431650,431216,431597,286.75166664
1552665540,2019-03-16 00:59:00,431653,432495,431000,431646,646.86637051
1552665600,2019-03-16 01:00:00,431550,431550,430700,430915,590.50076328
1552665660,2019-03-16 01:01:00,430941,431424,430941,431251,506.53515558
1552665720,2019-03-16 01:02:00,431300,431623,431262,431405,310.83292894
1552665780,2019-03-16 01:03:00,431522,431803,431302,431485,375.27788544
1552665840,2019-03-16 01:04:00,431516,431516,430959,431035,342.70928803
1552665900,2019-03-16 01:05:00,431045,431433,430902,431317,342.94373738
1552665960,2019-03-16 01:06:00,431244,431395,431103,431273,275.54413641
1552666020,2019-03-16 01:07:00,431273,431301,430803,431146,291.82095502
1552666080,2019-03-16 01:08:00,431198,431431,431090,431276,254.01258464
1552666140,2019-03-16 01:09:00,431275,431280,430900,431217,178.13897047
1552666200,2019-03-16 01:10:00,431178,432000,431076,431812,338.45268175
1552666260,2019-03-16 01:11:00,431812,432032,431400,431621,350.59886433
1552666320,2019-03-16 01:12:00,431630,431630,431311,431359,310.8904192
1552666380,2019-03-16 01:13:00,431359,431499,431153,431309,256.05944058
1552666440,2019-03-16 01:14:00,431309,431454,431206,431380,160.31510733
1552666500,2019-03-16 01:15:00,431290,431562,431202,431550,210.62990201
1552666560,2019-03-16 01:16:00,431552,431642,431155,431296,315.08644951
1552666620,2019-03-16 01:17:00,431170,431317,430947,431171,344.11418296
1552666680,2019-03-16 01:18:00,431171,431204,430720,430747,327.97791126
1552666740,2019-03-16 01:19:00,430701,430797,430393,430503,369.13503245
1552666800,2019-03-16 01:20:00,430503,430676,430300,430556,378.37792422
1552666860,2019-03-16 01:21:00,430567,430658,430463,430534,163.49138815
1552666920,2019-03-16 01:22:00,430515,430904,430500,430640,294.74363731
1552666980,2019-03-16 01:23:00,430641,430733,430552,430688,127.68832986
1552667040,2019-03-16 01:24:00,430709,430720,430524,430571,84.32213226
1552667100,2019-03-16 01:25:00,430568,430568,430250,430341,218.52208805
1552667160,2019-03-16 01:26:00,430349,430406,430240,430301,229.8969741
1552667220,2019-03-16 01:27:00,430304,430598,430240,430484,135.48670799
1552667280,2019-03-16 01:28:00,430484,430739,430354,430739,208.99536625
1552667340,2019-03-16 01:29:00,430729,430729,430386,430676,160.10502505
1552667400,2019-03-16 01:30:00,430654,430680,430494,430554,89.69404073
1552667460,2019-03-16 01:31:00,430521,430680,430456,430667,143.75601165
1552667520,2019-03-16 01:32:00,430656,430836,430647,430736,173.97517702
1552667580,2019-03-16 01:33:00,430738,430854,430681,430693,135.65910583
1552667640,2019-03-16 01:34:00,430697,430789,430660,430764,43.06375483
1552667700,2019-03-16 01:35:00,430763,430764,430602,430681,77.57732677
1552667760,2019-03-16 01:36:00,430681,430724,430603,430618,79.75815864
1552667820,2019-03-16 01:37:00,430618,430781,430603,430691,87.42960882
1552667880,2019-03-16 01:38:00,430691,430804,430647,430690,100.54628223
1552667940,2019-03-16 01:39:00,430713,430766,430406,430758,191.21929234
1552668000,2019-03-16 01:40:00,430757,430915,430652,430833,103.53407579
1552668060,2019-03-16 01:41:00,430844,430892,430757,430802,94.40477156
